Date,"Poondi
Inflow
Total","Poondi
Inflow
Catchment","Poondi
Inflow
KP Canal","Poondi
Outflow
Total","Poondi
Outflow
Evaporation","Poondi
Outflow
Irrigation","Poondi
Outflow
Dam","Poondi
Outflow
Link Canal","Poondi
Outflow
Baby Canal","Cholavaram
Inflow
Total","Cholavaram
Inflow
Catchment","Cholavaram
Inflow
U.S. Channel","Cholavaram
Outflow
Total","Cholavaram
Outflow
Evaporation","Cholavaram
Outflow
Irrigation","Cholavaram
Outflow
Dam","Cholavaram
Outflow
L.S. Channel","Redhills
Inflow
Total","Redhills
Inflow
Catchment","Redhills
Inflow
Feeder canal","Redhills
Inflow
Cholavaram","Redhills
Outflow
Total","Redhills
Outflow
Evaporation","Redhills
Outflow
Irrigation","Redhills
Outflow
Dam","Redhills
Outflow
Metro","Chembarambakkam
Inflow
Total","Chembarambakkam
Inflow
Catchment","Chembarambakkam
Inflow
Link Canal","Chembarambakkam
Outflow
Total","Chembarambakkam
Outflow
Evaporation","Chembarambakkam
Outflow
Irrigation","Chembarambakkam
Outflow
Dam","Chembarambakkam
Outflow
Metro","Chembarambakkam
Outflow
Sipcot","Veeranam
Inflow
Total","Veeranam
Inflow
Catchment","Veeranam
Inflow
Vadavar","Veeranam
Outflow
Total","Veeranam
Outflow
Evaporation","Veeranam
Outflow
Irrigation","Veeranam
Outflow
Dam","Veeranam
Outflow
CMWSSB","Veeranam
Outflow
VNSS","ThervoyKandigai
Inflow
Total","ThervoyKandigai
Inflow
Catchment","ThervoyKandigai
Inflow
From Kandaleru","ThervoyKandigai
Outflow
Total","ThervoyKandigai
Outflow
Evaporation","ThervoyKandigai
Outflow
Irrigation","ThervoyKandigai
Outflow
Dam","ThervoyKandigai
Outflow
To Poondi"
01-Jan-24,50,50,0,38,25,0,0,0,13,16,16,0,16,16,0,0,0,46,46,0,0,189,30,0,0,159,32,32,0,125,15,2,0,105,3,0,0,0,290,0,224,0,66,0,10,10,0,10,10,0,0,
02-Jan-24,40,40,0,38,25,0,0,0,13,16,16,0,16,16,0,0,0,46,46,0,0,189,30,0,0,159,32,32,0,126,15,3,0,105,3,0,0,0,190,0,124,0,66,0,10,10,0,10,10,0,0,
03-Jan-24,40,40,0,38,25,0,0,0,13,16,16,0,16,16,0,0,0,46,46,0,0,189,30,0,0,159,32,32,0,127,15,3,0,105,4,0,0,0,285,0,219,0,66,0,10,10,0,10,10,0,0,
04-Jan-24,40,40,0,38,25,0,0,0,13,16,16,0,16,16,0,0,0,46,46,0,0,189,30,0,0,159,32,32,0,127,15,3,0,105,4,0,0,0,380,0,316,0,64,0,0,0,0,15,15,0,0,
05-Jan-24,40,40,0,38,25,0,0,0,13,16,16,0,16,16,0,0,0,69,69,0,0,189,30,0,0,159,127,127,0,127,15,3,0,105,4,0,0,0,285,62,223,0,0,0,5,5,0,10,10,0,0,
06-Jan-24,40,40,0,38,25,0,0,0,13,16,16,0,16,16,0,0,0,46,46,0,0,189,30,0,0,159,33,33,0,126,15,2,0,105,4,0,0,0,380,0,318,0,62,0,0,0,0,10,10,0,0,
07-Jan-24,40,40,0,38,25,0,0,0,13,16,16,0,16,16,0,0,0,46,46,0,0,189,30,0,0,159,36,36,0,129,15,2,0,109,3,0,0,0,380,0,320,0,60,0,0,0,0,10,10,0,0,
08-Jan-24,190,190,0,88,25,0,50,0,13,97,97,0,16,16,0,0,0,258,258,0,0,189,30,0,0,159,497,497,0,150,15,0,25,108,2,756,756,0,281,0,223,0,58,0,10,10,0,10,10,0,0,
09-Jan-24,540,540,0,538,25,0,500,0,13,74,74,0,16,16,0,0,0,258,258,0,0,189,30,0,0,159,695,695,0,151,15,0,25,109,2,539,539,0,64,0,0,0,64,0,10,10,0,10,10,0,0,
10-Jan-24,130,130,0,38,25,0,0,0,13,39,39,0,16,16,0,0,0,120,120,0,0,189,30,0,0,159,102,102,0,125,15,0,0,108,2,156,156,0,61,0,0,0,61,0,10,10,0,10,10,0,0,
