Year,Jan (in mcft),Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2003,542,139,53,46,7,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0,0,0,0,158
2005,71,57,36,0,0,0,0,0,0,0,569,797
2006,763,721,665,585,521,439,387,325,208,229,540,708
2007,473,545,524,294,49,39,37,56,68,130,431,660
2008,881,867,785,756,676,583,514,289,184,97,325,881
2009,872,778,705,625,539,172,83,104,167,188,208,607
2010,715,686,651,214,84,98,100,155,270,405,431,698
2011,816,840,770,678,624,218,90,92,123,140,684,836
2012,855,495,300,102,86,83,85,85,85,93,218,329
2013,471,398,89,75,41,0,0,0,0,0,142,170
2014,170,94,79,52,7,3,0,0,0,0,46,61
2015,123,113,75,64,19,0,0,0,0,0,0,595
2016,717,533,376,252,120,83,80,73,69,100,72,72
2017,82,69,28,0,0,0,0,0,22,36,180,595
2018,513,451,398,100,70,68,61,26,1,8,20,40
2019,48,48,48,42,11,1,0,0,0,54,194,96
2020,68,72,72,72,72,72,72,77,94,112,138,504
2021,874,881,855,770,704,626,593,622,640,646,834,817
