Year,Jan (in mcft),Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2003,792,650,459,224,56,0,25,2,31,33,39,8
2004,0,0,0,0,0,0,0,0,0,0,72,494
2005,401,275,211,129,131,68,30,6,0,9,1259,2908
2006,2986,2843,2637,2419,2168,1938,1719,1486,1349,1293,2113,2512
2007,2351,2157,1859,1609,1312,1091,1060,942,1162,1634,2728,2671
2008,3120,2960,2793,2434,2099,2034,1971,1734,1484,1249,1852,3158
2009,2979,2679,2742,2929,2560,2064,1478,999,725,486,534,1552
2010,2496,2254,1956,2166,2379,2106,1881,1646,1727,1572,1527,2202
2011,3130,3080,2725,2210,1704,1822,1983,2438,2845,2792,2735,2673
2012,2825,2719,2390,1989,1574,1177,759,1123,1404,1199,1193,1141
2013,1239,980,1446,1775,1422,1012,757,555,445,668,749,956
2014,874,719,790,747,916,1264,1105,850,633,718,1211,1189
2015,968,747,728,864,799,572,511,323,165,148,228,3141
2016,3153,3018,2855,2378,2307,2310,1977,1561,1145,972,569,240
2017,537,339,162,463,287,93,49,83,180,221,617,1759
2018,1842,1693,1507,1215,1198,1214,906,628,445,338,235,185
2019,102,50,22,10,2,1,0,0,0,12,75,749
2020,1694,1547,1984,2078,1930,2011,2019,1849,1671,1585,2297,3123
2021,3347,3470,3177,3030,2965,2952,2641,2475,2591,2879,2804,3187
