Year,Jan (In mcft),Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2003,781,278,192,22,14,7,3,5,7,5,57,14
2004,4,5,4,8,4,5,5,3.5,1.2,14.2,49.6,324.2
2005,805,851,495,215,236,180,126,89,79,18,1582,2826
2006,3231,3035,2669,1958,1744,1394,793,531,632,1725,2265,2354
2007,2928,2565,2246,2036,1867,1270,305,200,1071,2265,2429,2568
2008,3101,3061,2801,2487,2257,945,736,639,540,989,2100,3018
2009,3058,3025,2798,2886,2287,2000,1567,695,180,605,1175,2255
2010,2293,1493,1758,2054,1356,1195,1050,1098,1264,1306,1795,2823
2011,3231,3108,2733,2530,2381,1700,1180,1798,2312,3054,2666,2484
2012,2839,3048,2858,2577,2348,2080,1705,940,614,593,695,796
2013,1520,1359,986,411,404,337,219,198,307,329,457,747
2014,147,254,526,93,294,429,105,81,574,410,286,280
2015,487,235,235,77,155,98,80,52,59,59,70,2745
2016,3114,2627,2049,1911,1239,1065,1018,643,569,285,229,194
2017,617,724,799,160,58,39,19,20,27,42,332,1004
2018,1012,1387,2011,1611,396,184,132,50,13,93,695,381
2019,298,190,477,333,193,56,18,16,16,597,1682,989
2020,1426,1584,1548,1438,849,377,222,85,95,712,1540,2902
2021,3135,3231,2941,2018,1160,427,404,1869,2550,2507,2807,2841
